"ID","PlotName","Clump_ID","TreeNumber","Species","Status","DBH","LiveCrownPercent","InsectEvidence","InsectLevel","FreshPitch","HealthCode","WitnessTree","Buffer","Notes","dist from plot center","azimuth to plot center","shape","azimuth shape","radius line","radius shape","no of trees","no of buffer trees"
3832,305000.00,39.00,44.00,"ABCO","D2",33.50,"NA","Y","2 - heavy attack (>5 pitch tubes)","NA","NA","None","N",,"11.49","156","p","999","0","0","1","0"
3833,305000.00,40.00,45.00,"ABCO","D3",48.60,"NA","Y","2 - heavy attack (>5 pitch tubes)","NA","NA","None","N",,"4.23","159","l","144","0.52","0","2","0"
3834,305000.00,40.00,46.00,"CADE","L",17.40,"15","N","0 - No attack","N","None","None","N",,"4.23","159","l","144","0.52","0","2","0"
3835,305000.00,41.00,47.00,"ABCO","L",18.60,"20","N","0 - No attack","Y","None","None","N",,"10.97","164","p","999","0","0","1","0"
3836,305000.00,42.00,48.00,"CADE","D3",16.20,"NA","N","0 - No attack","NA","NA","None","N",,"7.06","172","p","999","0","0","1","0"
3837,305000.00,43.00,49.00,"CADE","D3",17.20,"NA","N","0 - No attack","NA","NA","None","N",,"10.22","174","l","136","0.77","0","2","0"
3838,305000.00,43.00,50.00,"CADE","D3",17.20,"NA","N","0 - No attack","NA","NA","None","N",,"10.22","174","l","136","0.77","0","2","0"
3839,307000.00,1.00,1.00,"CADE","L",11.50,"10","N","0 - No attack","N","None","None","N",,"4.09","190","p","999","0","0","1","0"
3840,307000.00,2.00,2.00,"CADE","L",9.10,"8","N","0 - No attack","N","None","None","N",,"5.41","195","p","999","0","0","1","0"
3841,307000.00,3.00,3.00,"CADE","L",8.50,"5","N","0 - No attack","N","None","None","N",,"9.52","196","p","999","0","0","1","0"
3842,307000.00,4.00,4.00,"CADE","L",7.80,"8","N","0 - No attack","N","None","None","N",,"7.26","201","p","999","0","0","1","0"
3843,307000.00,5.00,5.00,"ABCO","L",22.10,"50","N","0 - No attack","N","None","None","N",,"9.07","206","p","999","0","0","1","0"
3844,307000.00,6.00,6.00,"CADE","L",8.00,"30","N","0 - No attack","N","None","None","N",,"5","210","l","230","0","0.5","2","0"
3845,307000.00,6.00,7.00,"PILA","L",10.80,"15","N","0 - No attack","N","None","None","N",,"5","210","l","230","0","0.5","2","0"
3846,307000.00,7.00,8.00,"CADE","L",11.30,"20","N","0 - No attack","N","None","None","N",,"7","216","p","999","0","0","1","0"
3847,307000.00,8.00,9.00,"CADE","L",13.80,"30","N","0 - No attack","N","None","None","N",,"11.83","222","p","999","0","0","1","0"
3848,307000.00,9.00,10.00,"ABCO","L",11.60,"30","N","0 - No attack","Y","None","None","N",,"12.58","225","p","999","0","0","1","0"
3849,307000.00,10.00,10.00,"CADE","L",10.50,"20","N","0 - No attack","N","None","None","N",,"7.1","236","o","115","0.4","0.65","4","0"
3850,307000.00,10.00,11.00,"PIPO","L",14.10,"10","N","0 - No attack","N","None","None","N",,"7.1","236","o","115","0.4","0.65","4","0"
3851,307000.00,10.00,12.00,"CADE","L",8.00,"15","N","0 - No attack","N","None","None","N",,"7.1","236","o","115","0.4","0.65","4","0"
3852,307000.00,10.00,13.00,"CADE","L",10.00,"20","N","0 - No attack","N","None","None","N",,"7.1","236","o","115","0.4","0.65","4","0"
3853,307000.00,11.00,14.00,"CADE","L",11.00,"20","N","0 - No attack","N","None","None","N",,"8.95","230","p","999","0","0","1","0"
3854,307000.00,12.00,15.00,"PIPO","L",23.70,"20","N","0 - No attack","N","None","None","N",,"11.53","240","l","0.55","30","0.55","3","0"
3855,307000.00,12.00,16.00,"CADE","D3",7.60,"NA","N","0 - No attack","NA","NA","None","N",,"11.53","240","l","0.55","30","0.55","3","0"
3856,307000.00,12.00,17.00,"CADE","L",7.80,"3","N","0 - No attack","N","None","None","N",,"11.53","240","l","0.55","30","0.55","3","0"
3857,307000.00,13.00,18.00,"CADE","L",12.90,"30","N","0 - No attack","N","None","None","N",,"3.42","247","p","999","0","0","1","0"
3858,307000.00,14.00,19.00,"CADE","L",9.50,"15","N","0 - No attack","N","None","None","N",,"5.07","249","p","999","0","0","1","0"
3859,307000.00,15.00,20.00,"CADE","L",13.40,"15","N","0 - No attack","N","None","None","N",,"7.93","250","p","999","0","0","1","0"
3860,307000.00,16.00,21.00,"CADE","L",10.50,"30","N","0 - No attack","N","None","None","N",,"11.11","252","p","999","0","0","1","0"
3861,307000.00,17.00,22.00,"CADE","L",21.80,"20","N","0 - No attack","N","None","None","N",,"6.61","272","p","999","0","0","1","0"
3862,307000.00,18.00,23.00,"CADE","L",15.10,"40","N","0 - No attack","N","None","None","N",,"12.4","276","p","999","0","0","1","0"
3863,307000.00,19.00,24.00,"CADE","L",9.30,"5","N","0 - No attack","N","None","None","N",,"8.18","279","p","999","0","0","1","0"
3864,307000.00,20.00,25.00,"ABCO","L",20.90,"55","N","0 - No attack","Y","None","None","N",,"11.55","335","p","999","0","0","1","0"
3865,307000.00,21.00,26.00,"ABCO","L",25.90,"20","N","0 - No attack","Y","None","None","N",,"10.68","350","p","999","0","0","1","0"
3866,307000.00,22.00,27.00,"CADE","L",31.20,"20","N","0 - No attack","N","None","None","N",,"12.65","360","l","230","0","0.3","2","1"
3867,307000.00,22.00,28.00,"CADE","L",19.00,"10","N","0 - No attack","N","None","None","Y",,"12.65","361","l","230","0","0.3","2","1"
3868,307000.00,23.00,29.00,"PIPO","L",78.30,"30","N","0 - No attack","N","None","W1","N",,"7.31","25","o","290","1.45","1.85","9","0"
3869,307000.00,23.00,30.00,"CADE","L",21.90,"8","N","0 - No attack","N","None","None","N",,"7.31","25","o","290","1.45","1.85","9","0"
3870,307000.00,23.00,31.00,"CADE","L",24.20,"10","N","0 - No attack","N","None","None","N",,"7.31","25","o","290","1.45","1.85","9","0"
3871,307000.00,23.00,32.00,"CADE","L",34.50,"25","N","0 - No attack","N","None","None","N",,"7.31","25","o","290","1.45","1.85","9","0"
3872,307000.00,23.00,33.00,"CADE","L",33.30,"5","N","0 - No attack","N","None","None","N",,"7.31","25","o","290","1.45","1.85","9","0"
3873,307000.00,23.00,34.00,"PIPO","L",84.80,"40","N","0 - No attack","N","None","W2","N",,"7.31","25","o","290","1.45","1.85","9","0"
3874,307000.00,23.00,35.00,"CADE","L",47.80,"20","N","0 - No attack","N","None","None","N",,"7.31","25","o","290","1.45","1.85","9","0"
3875,307000.00,23.00,36.00,"CADE","L",28.70,"15","N","0 - No attack","N","None","None","N",,"7.31","25","o","290","1.45","1.85","9","0"
3876,307000.00,23.00,37.00,"CADE","L",41.80,"40","N","0 - No attack","N","None","None","N",,"7.31","25","o","290","1.45","1.85","9","0"
3877,307000.00,24.00,38.00,"PILA","L",21.70,"40","N","0 - No attack","N","None","None","N",,"12.23","19","p","999","0","0","1","0"
3878,307000.00,25.00,39.00,"QUCH","L",8.10,"90","N","0 - No attack","N","None","None","N",,"8.91","56","p","999","0","0","1","0"
3879,307000.00,26.00,40.00,"PIPO","L",70.70,"45","N","0 - No attack","N","None","None","N",,"8.11","69","o","240","0.55","0.9","3","0"
3880,307000.00,26.00,41.00,"QUCH","L",10.20,"50",,,,"Split Top","None","N","1 live leader, that leader has dbh of less than 7.6. No data for attack or pitch collected.","8.11","69","o","240","0.55","0.9","3","0"
3881,307000.00,26.00,42.00,"QUCH","L",8.10,"70","N","0 - No attack","N","None","None","N",,"8.11","69","o","240","0.55","0.9","3","0"
3882,307000.00,27.00,43.00,"CADE","L",9.30,"10","N","0 - No attack","N","None","None","N",,"10.94","74","p","999","0","0","1","0"
3883,307000.00,28.00,44.00,"ABCO","D3",50.10,"NA","N","0 - No attack","NA","NA","None","N","broken at 3 m","9.6","92","p","999","0","0","1","0"
3884,307000.00,30.00,45.00,"CADE","L",9.30,"10","N","0 - No attack","N","None","None","N",,"11.45","95","p","999","0","0","1","0"
3885,307000.00,31.00,46.00,"PIPO","L",33.50,"30","N","0 - No attack","N","None","None","N",,"11.95","108","p","999","0","0","1","0"
3886,307000.00,32.00,47.00,"CADE","L",13.90,"40","N","0 - No attack","N","None","None","N",,"10.1","110","p","999","0","0","1","0"
3887,307000.00,33.00,48.00,"ABCO","L",12.50,"30","N","0 - No attack","Y","None","None","N",,"5.95","111","p","999","0","0","1","0"
3888,307000.00,34.00,49.00,"CADE","L",8.70,"35","N","0 - No attack","N","None","None","N",,"12.45","122","p","999","0","0","1","0"
3889,307000.00,35.00,50.00,"PSME","L",14.80,"60","Y","1 - light attack (<5 pitch tubes)","Y","None","None","N",,"12.3","126","l","300","0","0.25","2","0"
3890,307000.00,35.00,51.00,"CADE","D2",14.90,"NA","N","0 - No attack","NA","NA","None","N",,"12.3","126","l","300","0","0.25","2","0"
3891,307000.00,36.00,52.00,"QUKE","L",35.80,"40","N","0 - No attack","N","None","None","N",,"8.7","148","p","999","0","0","1","0"
3892,307000.00,37.00,53.00,"CADE","L",8.60,"10","Y","1 - light attack (<5 pitch tubes)","N","None","None","N","cbb","10.15","155","p","999","0","0","1","0"
3893,307000.00,38.00,54.00,"CADE","L",11.20,"8","N","0 - No attack","N","None","None","N",,"1.85","156","p","999","0","0","1","0"
3894,307000.00,39.00,55.00,"CADE","L",20.80,"30","N","0 - No attack","N","None","None","N",,"3.55","170","p","999","0","0","1","0"
3895,307000.00,40.00,56.00,"CADE","L",12.90,"35","Y","1 - light attack (<5 pitch tubes)","N","None","None","N","cbb","12.58","178","p","999","0","0","1","0"
3896,308000.00,1.00,1.00,"ABCO","L",47.40,"30","N","0 - No attack","N","None","None","N",,,,,,,,,
3897,308000.00,2.00,2.00,"CADE","L",12.30,"5","N","0 - No attack","N","None","None","N",,,,,,,,,
3898,308000.00,3.00,3.00,"PIPO","L",9.30,"25","N","0 - No attack","N","None","None","N",,,,,,,,,
3899,308000.00,4.00,4.00,"PIPO","D1",7.90,"NA","N","0 - No attack","N","None","None","N",,,,,,,,,
3900,308000.00,5.00,5.00,"ABCO","L",56.10,"40","N","0 - No attack","N","None","W1","N",,,,,,,,,
3901,308000.00,6.00,6.00,"ABCO","L",28.00,"25","N","0 - No attack","N","None","None","N",,,,,,,,,
3902,308000.00,7.00,7.00,"ABCO","L",19.50,"20","N","0 - No attack","N","None","None","N",,,,,,,,,
3903,308000.00,7.00,8.00,"ABCO","L",13.30,"10","N","0 - No attack","N","None","None","N",,,,,,,,,
3904,308000.00,8.00,9.00,"CADE","L",7.80,"10","N","0 - No attack","N","None","None","N",,,,,,,,,
3905,308000.00,9.00,10.00,"CADE","L",18.00,"15","N","0 - No attack","N","None","None","N",,,,,,,,,
3906,308000.00,10.00,11.00,"CADE","L",11.40,"15","N","0 - No attack","N","None","None","N",,,,,,,,,
3907,308000.00,11.00,12.00,"UNKNCONIFER","D3",106.00,"NA","N","0 - No attack","NA","NA","None","N","almost completely decayed",,,,,,,,
3908,308000.00,11.00,13.00,"PIPO","D2",10.50,"NA","N","0 - No attack","NA","NA","None","N",,,,,,,,,
3909,308000.00,11.00,14.00,"PILA","L",10.50,"20","N","0 - No attack","N","None","None","N",,,,,,,,,
3910,308000.00,11.00,15.00,"CADE","L",17.10,"25","N","0 - No attack","N","None","None","N",,,,,,,,,
3911,308000.00,12.00,16.00,"PILA","D3",17.20,"NA","Y","1 - light attack (<5 pitch tubes)","N","None","None","N",,,,,,,,,
3912,308000.00,13.00,17.00,"PILA","L",8.60,"20","N","0 - No attack","N","None","None","N",,"273","9.95","p","999","0","0","1","0"
3913,308000.00,14.00,18.00,"PILA","D3",123.50,"NA","N","0 - No attack","NA","NA","None","N",,"275","11.58","p","999","0","0","1","0"
3914,308000.00,15.00,19.00,"PIPO","D3",9.20,"NA","N","0 - No attack","NA","NA","None","N",,"278","6.07","p","999","0","0","1","0"
3915,308000.00,16.00,20.00,"PILA","D2",11.80,"NA","N","0 - No attack","NA","NA","None","N",,"284","2.4","p","999","0","0","1","0"
3916,308000.00,17.00,21.00,"PILA","D2",19.00,"NA","N","0 - No attack","NA","NA","None","N",,"285","5.11","p","999","0","0","1","0"
3917,308000.00,18.00,22.00,"PILA","L",14.50,"20","N","0 - No attack","N","None","None","N",,"285","7.07","p","999","0","0","1","0"
3918,308000.00,19.00,23.00,"CADE","L",17.80,"20","N","0 - No attack","N","None","None","N",,"289","11.25","p","999","0","0","1","0"
3919,308000.00,20.00,24.00,"CADE","D3",7.70,"NA","Y","1 - light attack (<5 pitch tubes)","NA","Other - include in notes","None","N","cbb","294","8.01","p","999","0","0","1","0"
3920,308000.00,21.00,25.00,"CADE","L",11.40,"10","N","0 - No attack","N","None","None","N",,"208","11.82","p","999","0","0","1","0"
3921,308000.00,22.00,26.00,"CADE","L",22.40,"30","N","0 - No attack","N","None","None","N",,"209","10.08","p","999","0","0","1","0"
3922,308000.00,23.00,27.00,"CADE","L",14.60,"15","N","0 - No attack","N","None","None","N",,"304","11.95","p","999","0","0","1","0"
3923,308000.00,24.00,28.00,"CADE","D3",9.90,"NA","N","0 - No attack","NA","NA","None","N",,"309","8.71","p","999","0","0","1","0"
3924,308000.00,25.00,29.00,"CADE","L",9.60,"20","N","0 - No attack","N","None","None","N",,"313","6.16","p","999","0","0","1","0"
