"plot","code","species","spha","forest","aoi","loc","treated"
155112,"ABCO","White fir",1965,"Sierra","Sierra - Bass Lake","Granddad","No"
155112,"CADE","Incense cedar",1845,"Sierra","Sierra - Bass Lake","Granddad","No"
155112,"CONU"," ",20,"Sierra","Sierra - Bass Lake","Granddad","No"
155112,"PILA","Sugar pine",40,"Sierra","Sierra - Bass Lake","Granddad","No"
155112,"QUCH","Canyon live oak",200,"Sierra","Sierra - Bass Lake","Granddad","No"
155112,"QUKE","Black oak",60,"Sierra","Sierra - Bass Lake","Granddad","No"
155113,"ABCO","White fir",120,"Sierra","Sierra - Bass Lake","Granddad","No"
155113,"CADE","Incense cedar",120,"Sierra","Sierra - Bass Lake","Granddad","No"
155113,"PILA","Sugar pine",60,"Sierra","Sierra - Bass Lake","Granddad","No"
155113,"QUCH","Canyon live oak",341,"Sierra","Sierra - Bass Lake","Granddad","No"
155113,"QUKE","Black oak",20,"Sierra","Sierra - Bass Lake","Granddad","No"
155114,"ABCO","White fir",20,"Sierra","Sierra - Bass Lake","Granddad","No"
155114,"CADE","Incense cedar",80,"Sierra","Sierra - Bass Lake","Granddad","No"
155114,"QUCH","Canyon live oak",281,"Sierra","Sierra - Bass Lake","Granddad","No"
155114,"QUKE","Black oak",160,"Sierra","Sierra - Bass Lake","Granddad","No"
155115,"CADE","Incense cedar",521,"Sierra","Sierra - Bass Lake","Granddad","No"
155115,"QUCH","Canyon live oak",441,"Sierra","Sierra - Bass Lake","Granddad","No"
155115,"QUKE","Black oak",120,"Sierra","Sierra - Bass Lake","Granddad","No"
155131,"QUKE","Black oak",1524,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155132,"QUCH","Canyon live oak",20,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155132,"QUKE","Black oak",381,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155133,"QUCH","Canyon live oak",100,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155133,"QUKE","Black oak",842,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155134,"QUKE","Black oak",261,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155135,"QUCH","Canyon live oak",20,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155135,"QUKE","Black oak",281,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155136,"QUCH","Canyon live oak",80,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155136,"QUKE","Black oak",80,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155137,"QUKE","Black oak",561,"Sierra","Sierra - Bass Lake","Pine Grove","Yes"
155141,"CADE","Incense cedar",60,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155141,"QUKE","Black oak",401,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155142,"CADE","Incense cedar",60,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155142,"QUCH","Canyon live oak",80,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155142,"QUKE","Black oak",40,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155143,"PILA","Sugar pine",40,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155143,"QUCH","Canyon live oak",80,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155143,"QUKE","Black oak",742,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155146,"CADE","Incense cedar",60,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155146,"QUCH","Canyon live oak",281,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155146,"QUKE","Black oak",521,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155147,"CADE","Incense cedar",221,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155147,"QUCH","Canyon live oak",200,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155147,"QUKE","Black oak",622,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155148,"CADE","Incense cedar",80,"Sierra","Sierra - Bass Lake","Pine Grove","No"
155148,"PILA","Sugar pine",40,"Sierra","Sierra - Bass Lake","Pine Grove","No"
